Entity,Code,Year,Homicide
Canada,CAN,2004,1.9644519069
Canada,CAN,2005,2.0643997588
Canada,CAN,2006,1.8686421985
Canada,CAN,2007,1.812892765
Canada,CAN,2008,1.8417621548
Canada,CAN,2009,1.8076166625
Canada,CAN,2010,1.6282273237
Canada,CAN,2011,1.7545304234
Canada,CAN,2012,1.5692099924
Canada,CAN,2013,1.442067897
Canada,CAN,2014,1.463646963
Canada,CAN,2015,1.6931901668
Canada,CAN,2016,1.682106961
Canada,CAN,2017,1.7967939805
Canada,CAN,2018,1.755921136
Finland,FIN,1990,3.0422999788
Finland,FIN,1991,3.0682583888
Finland,FIN,1992,3.0922145965
Finland,FIN,1993,2.5632016518
Finland,FIN,1994,2.8839985168
Finland,FIN,1995,2.8521128687
Finland,FIN,1996,2.9784013343
Finland,FIN,1997,2.6981175292
Finland,FIN,1998,2.1881261817
Finland,FIN,1999,2.762793327
Finland,FIN,2000,2.8527629298
Finland,FIN,2001,2.9997259866
Finland,FIN,2002,2.531952473
Finland,FIN,2003,1.9704976329
Finland,FIN,2004,2.8232556143
Finland,FIN,2005,2.2628164306
Finland,FIN,2006,2.2548597913
Finland,FIN,2007,2.4350001255
Finland,FIN,2008,2.5002575453
Finland,FIN,2009,2.2462378324
Finland,FIN,2010,2.2177560632
Finland,FIN,2011,2.0408026959
Finland,FIN,2012,1.6251847493
Finland,FIN,2013,1.6363350214
Finland,FIN,2014,1.6113055054
Finland,FIN,2015,1.4960424205
Finland,FIN,2016,1.3460139978
Finland,FIN,2017,1.251956863
Finland,FIN,2018,1.6296716121
France,FRA,1990,2.3911682703
France,FRA,1991,2.3808026134
France,FRA,1992,2.3483209934
France,FRA,1993,2.6477079852
France,FRA,1994,2.441518088
France,FRA,1995,2.3113432266
France,FRA,1996,2.0185459729
France,FRA,1997,1.6540521004
France,FRA,1998,1.6443021892
France,FRA,1999,1.6233882102
France,FRA,2000,1.7809003839
France,FRA,2001,1.7630974311
France,FRA,2002,1.871130009
France,FRA,2003,1.6381310163
France,FRA,2004,1.631026352
France,FRA,2005,1.5968552945
France,FRA,2006,1.4290609278
France,FRA,2007,1.6049981809
France,FRA,2008,1.6412361598
France,FRA,2009,1.3095015143
France,FRA,2010,1.2659126694
France,FRA,2011,1.3539541606
France,FRA,2012,1.2333982084
France,FRA,2013,1.2160857437
France,FRA,2014,1.2337688132
France,FRA,2015,1.5701316524
France,FRA,2016,1.3515270942
France,FRA,2017,1.27077123
France,FRA,2018,1.1986365025
Germany,DEU,1990,1.4833928547
Germany,DEU,1991,1.6891506855
Germany,DEU,1992,1.739667254
Germany,DEU,1993,1.5541743463
Germany,DEU,1994,1.6614516302
Germany,DEU,1995,1.6884677639
Germany,DEU,1996,1.5370679428
Germany,DEU,1997,1.4484162938
Germany,DEU,1998,1.1989778566
Germany,DEU,1999,1.2347964156
Germany,DEU,2000,1.2469152208
Germany,DEU,2001,1.1356117609
Germany,DEU,2002,1.1712743578
Germany,DEU,2003,1.0525107153
Germany,DEU,2004,1.0631200069
Germany,DEU,2005,1.0649152353
Germany,DEU,2006,0.99174890685
Germany,DEU,2007,0.93137322209
Germany,DEU,2008,0.89063505993
Germany,DEU,2009,0.99258391484
Germany,DEU,2010,0.981107786
Germany,DEU,2011,0.9127379369
Germany,DEU,2012,0.81385525966
Germany,DEU,2013,0.84016663732
Germany,DEU,2014,0.87906291893
Germany,DEU,2015,0.83386916356
Germany,DEU,2016,1.1716216448
Germany,DEU,2017,0.98356599145
Germany,DEU,2018,0.9479766191
India,IND,1990,5.057039129
India,IND,1991,5.4499562975
India,IND,1992,5.4643810084
India,IND,1993,5.1700237359
India,IND,1994,5.0188143249
India,IND,1995,4.8122121707
India,IND,1996,4.775413228
India,IND,1997,4.7375360849
India,IND,1998,4.8349969217
India,IND,1999,4.6029213119
India,IND,2000,4.5587842811
India,IND,2001,4.3181391573
India,IND,2002,4.1832325096
India,IND,2003,3.988311009
India,IND,2004,4.1155306524
India,IND,2005,3.9294710735
India,IND,2006,3.8577030332
India,IND,2007,3.8338097447
India,IND,2008,3.8311117225
India,IND,2009,3.763079037
India,IND,2010,3.7641342502
India,IND,2011,3.8103222877
India,IND,2012,3.75088806
India,IND,2013,3.5818622233
India,IND,2014,3.6551383088
India,IND,2015,3.386857916
India,IND,2016,3.2221550908
India,IND,2017,3.124876793
India,IND,2018,3.0792324418
Italy,ITA,1990,3.1447071712
Italy,ITA,1991,3.3947515355
Italy,ITA,1992,2.5828892199
Italy,ITA,1993,1.8724558596
Italy,ITA,1994,1.6936550926
Italy,ITA,1995,1.7700225758
Italy,ITA,1996,1.6700186494
Italy,ITA,1997,1.5341726951
Italy,ITA,1998,1.5667198394
Italy,ITA,1999,1.4455756903
Italy,ITA,2000,1.3511564153
Italy,ITA,2001,1.2465901627
Italy,ITA,2002,1.1262182722
Italy,ITA,2003,1.2490317615
Italy,ITA,2004,1.2321302077
Italy,ITA,2005,1.0466495299
Italy,ITA,2006,1.0675982911
Italy,ITA,2007,1.0740816406
Italy,ITA,2008,1.043750703
Italy,ITA,2009,0.99821299571
Italy,ITA,2010,0.89169478511
Italy,ITA,2011,0.92634437826
Italy,ITA,2012,0.88511138935
Italy,ITA,2013,0.83434679322
Italy,ITA,2014,0.78629858005
Italy,ITA,2015,0.77420220897
Italy,ITA,2016,0.65937977288
Italy,ITA,2017,0.61146763208
Italy,ITA,2018,0.5690506607
Mexico,MEX,1990,17.265259393
Mexico,MEX,1991,17.690955818
Mexico,MEX,1992,19.057104889
Mexico,MEX,1993,18.098640751
Mexico,MEX,1994,17.568359765
Mexico,MEX,1995,17.031900121
Mexico,MEX,1996,15.572152611
Mexico,MEX,1997,14.323914613
Mexico,MEX,1998,14.216660596
Mexico,MEX,1999,12.565032815
Mexico,MEX,2000,10.856437642
Mexico,MEX,2001,10.254426223
Mexico,MEX,2002,9.9208569732
Mexico,MEX,2003,9.785506585
Mexico,MEX,2004,8.9259971211
Mexico,MEX,2005,9.358974931
Mexico,MEX,2006,9.7173530477
Mexico,MEX,2007,8.1221573194
Mexico,MEX,2008,12.639052134
Mexico,MEX,2009,17.608319172
Mexico,MEX,2010,22.575450557
Mexico,MEX,2011,23.521232483
Mexico,MEX,2012,22.142133344
Mexico,MEX,2013,19.408862745
Mexico,MEX,2014,16.625796371
Mexico,MEX,2015,17.037828649
Mexico,MEX,2016,19.91269533
Mexico,MEX,2017,25.708997803
Mexico,MEX,2018,29.071061625
Netherlands,NLD,1990,0.90207826805
Netherlands,NLD,1991,1.1749460089
Netherlands,NLD,1992,1.2725954935
Netherlands,NLD,1993,1.2575316814
Netherlands,NLD,1994,1.1126205591
Netherlands,NLD,1995,1.2477492027
Netherlands,NLD,1996,1.3557577812
Netherlands,NLD,1997,1.3286080876
Netherlands,NLD,1998,1.1177690346
Netherlands,NLD,1999,1.2819278174
Netherlands,NLD,2000,1.1302139595
Netherlands,NLD,2001,1.261072466
Netherlands,NLD,2002,1.210401633
Netherlands,NLD,2003,1.246840617
Netherlands,NLD,2004,1.1727012584
Netherlands,NLD,2005,1.0631048662
Netherlands,NLD,2006,0.7785844981
Netherlands,NLD,2007,0.86631740949
Netherlands,NLD,2008,0.9053539919
Netherlands,NLD,2009,0.92623896039
Netherlands,NLD,2010,0.8631578859
Netherlands,NLD,2011,0.85433366127
Netherlands,NLD,2012,0.86351414525
Netherlands,NLD,2013,0.74212551397
Netherlands,NLD,2014,0.72813305442
Netherlands,NLD,2015,0.61398618012
Netherlands,NLD,2016,0.55355057053
Netherlands,NLD,2017,0.77549697459
Netherlands,NLD,2018,0.58618158968
Norway,NOR,1990,1.1065890077
Norway,NOR,1991,1.1711069185
Norway,NOR,1992,1.0715903916
Norway,NOR,1993,0.88028372935
Norway,NOR,1994,0.76008564553
Norway,NOR,1995,0.96175952531
Norway,NOR,1996,0.9787816081
Norway,NOR,1997,0.85967677058
Norway,NOR,1998,0.85441547301
Norway,NOR,1999,0.7375936744
Norway,NOR,2000,1.0668148354
Norway,NOR,2001,0.81801598403
Norway,NOR,2002,1.0118747906
Norway,NOR,2003,1.1159502995
Norway,NOR,2004,0.78291335106
Norway,NOR,2005,0.71238002063
Norway,NOR,2006,0.70618657963
Norway,NOR,2007,0.63567362228
Norway,NOR,2008,0.71263676862
Norway,NOR,2009,0.60080628203
Norway,NOR,2010,0.59354736242
Norway,NOR,2011,2.2431787662
Norway,NOR,2012,0.53852272446
Norway,NOR,2013,0.90560807645
Norway,NOR,2014,0.56395338322
Norway,NOR,2015,0.46155381708
Norway,NOR,2016,0.5141926699
Norway,NOR,2017,0.52866856333
Norway,NOR,2018,0.46834371183
Portugal,PRT,1990,1.5650668014
Portugal,PRT,1991,1.5334042582
Portugal,PRT,1992,1.433652831
Portugal,PRT,1993,1.3989834439
Portugal,PRT,1994,1.4235892927
Portugal,PRT,1995,1.0801359822
Portugal,PRT,1996,1.0459821654
Portugal,PRT,1997,1.1204411314
Portugal,PRT,1998,1.2238049447
Portugal,PRT,1999,1.0629478704
Portugal,PRT,2000,1.126528911
Portugal,PRT,2001,1.0153309167
Portugal,PRT,2002,1.1457739284
Portugal,PRT,2003,1.428624163
Portugal,PRT,2004,1.3752365359
Portugal,PRT,2005,1.2846750448
Portugal,PRT,2006,1.4701925108
Portugal,PRT,2007,1.7497150802
Portugal,PRT,2008,1.1703289153
Portugal,PRT,2009,1.2259448404
Portugal,PRT,2010,1.1702468513
Portugal,PRT,2011,1.0785865747
Portugal,PRT,2012,1.1590008577
Portugal,PRT,2013,1.3749609115
Portugal,PRT,2014,0.88306797781
Portugal,PRT,2015,0.9644739865
Portugal,PRT,2016,0.63919175171
Portugal,PRT,2017,0.7386868888
Portugal,PRT,2018,0.78976680624
Russia,RUS,1990,14.332526351
Russia,RUS,1991,15.284915528
Russia,RUS,1992,22.872007619
Russia,RUS,1993,30.369287298
Russia,RUS,1994,32.268405618
Russia,RUS,1995,30.532127206
Russia,RUS,1996,26.403712363
Russia,RUS,1997,23.688482544
Russia,RUS,1998,22.769313534
Russia,RUS,1999,26.018283996
Russia,RUS,2000,28.06600244
Russia,RUS,2001,29.432069069
Russia,RUS,2002,30.473287576
Russia,RUS,2003,28.88026209
Russia,RUS,2004,27.245851731
Russia,RUS,2005,24.803698003
Russia,RUS,2006,20.11390843
Russia,RUS,2007,17.713179215
Russia,RUS,2008,12.69679367
Russia,RUS,2009,12.320785217
Russia,RUS,2010,11.632342185
Russia,RUS,2011,11.255851973
Russia,RUS,2012,11.283117795
Russia,RUS,2013,11.108920383
Russia,RUS,2014,11.416734255
Russia,RUS,2015,11.481183037
Russia,RUS,2016,10.919951237
Russia,RUS,2017,9.1341934226
Russia,RUS,2018,8.209475626
Sweden,SWE,1990,1.1088577306
Sweden,SWE,1991,1.3333116912
Sweden,SWE,1992,1.3123457778
Sweden,SWE,1993,1.2347415103
Sweden,SWE,1994,1.1365916005
Sweden,SWE,1995,0.98456150969
Sweden,SWE,1996,1.117484914
Sweden,SWE,1997,0.98096068073
Sweden,SWE,1998,1.0371042067
Sweden,SWE,1999,1.138271214
Sweden,SWE,2000,1.0808812154
Sweden,SWE,2001,0.97776956601
Sweden,SWE,2002,1.1321977651
Sweden,SWE,2003,0.94956799683
Sweden,SWE,2004,1.1901248997
Sweden,SWE,2005,0.91828106194
Sweden,SWE,2006,1.0004210563
Sweden,SWE,2007,1.2114014485
Sweden,SWE,2008,0.88778860844
Sweden,SWE,2009,0.99859498759
Sweden,SWE,2010,0.96909987767
Sweden,SWE,2011,0.85563033812
Sweden,SWE,2012,0.71257784782
Sweden,SWE,2013,0.90455245656
Sweden,SWE,2014,0.89763485597
Sweden,SWE,2015,1.1469593953
Sweden,SWE,2016,1.0776735225
Sweden,SWE,2017,1.1408500544
Sweden,SWE,2018,1.0830726772
